"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Hennepin","Entire home/apt",1,2,4,30,341,21,4.57,4.71,4.62,0,0,1,7,2.03485042715502,170
"Ramsey","Private room",1,1,3,1,283,178,4.81,4.78,4.79,1,0,1,3,2.55936551801898,41
"Hennepin","Private room",1,1,2,3,81,66,4.88,4.75,4.89,1,0,0,2,2.85726438871556,38
"Hennepin","Private room",1,1,1,3,81,70,4.87,4.59,4.8,1,0,0,2,2.80747439997039,35
"Scott","Entire home/apt",1,1,4,2,0,84,4.99,5,4.92,1,0,0,1,19.0006210472786,110
"Hennepin","Entire home/apt",1,1,2,30,326,1,5,5,5,0,0,1,1,4.84468770917983,200
"Hennepin","Private room",1,2,4,1,167,46,4.96,4.98,4.66,1,0,1,3,4.04195624363487,63
"Hennepin","Private room",3,4,16,2,38,27,4.93,4.96,5,0,0,1,1,12.126623188278,85
"Hennepin","Entire home/apt",1,1,4,6,133,271,4.88,4.97,4.88,1,0,1,2,2.13990936274025,72
"Hennepin","Private room",1,1,3,2,132,81,4.95,4.99,4.94,1,1,1,1,5.1423030602072,107
"Ramsey","Entire home/apt",2,4,16,2,313,223,4.74,4.57,4.69,0,0,1,6,3.06135033391855,121
"Ramsey","Shared room",3.5,1,10,2,357,49,4.94,4.79,5,0,0,1,1,3.86779855435002,807
"Hennepin","Private room",1,1,2,1,180,41,4.85,4.73,4.88,0,0,1,1,3.89401627473865,85
"Hennepin","Private room",1,1,2,1,111,155,4.95,4.91,4.97,1,1,0,2,1.05334499931706,100
"Hennepin","Entire home/apt",1,1,2,1,0,320,4.9,4.94,4.81,0,0,1,6,0.881266714626813,78
"Hennepin","Entire home/apt",1,3,4,3,88,19,4.94,4.78,4.94,0,0,1,1,5.43341134775122,105
"Hennepin","Entire home/apt",1,3,8,2,188,52,4.56,4.54,4.33,0,0,1,19,0.974998765108465,179
"Hennepin","Entire home/apt",1,2,4,28,38,24,4.96,4.96,5,0,0,1,1,1.16150962040057,129
"Hennepin","Private room",1,1,2,1,175,248,4.71,4.77,4.54,0,1,1,19,0.869035529696898,36
"Ramsey","Entire home/apt",1,1,2,3,49,269,4.96,4.99,4.98,1,0,1,1,4.26657087803064,79
"Hennepin","Entire home/apt",1,1,4,2,305,511,4.95,4.84,4.95,1,0,1,4,2.15421244265098,115
"Hennepin","Private room",1,1,2,30,87,4,4.75,4,4.75,0,0,1,1,3.71043754578584,39
"Hennepin","Entire home/apt",1,1,2,1,136,693,4.96,4.99,4.88,1,0,1,1,1.97804961364831,53
"Hennepin","Private room",1,1,2,1,154,287,4.79,4.85,4.55,0,1,1,19,0.924247081455478,36
"Hennepin","Private room",1,1,2,1,106,211,4.73,4.77,4.44,0,1,1,19,0.909713614804776,36
"Hennepin","Entire home/apt",2,3,6,2,37,11,5,5,5,0,0,1,1,3.12904069299416,138
"Hennepin","Private room",1,1,1,2,180,78,4.66,4.76,4.82,0,0,0,2,12.3883437009449,50
"Hennepin","Private room",1,1,5,2,27,155,4.85,4.86,4.97,1,0,1,1,3.54484174610187,82
"Mille Lacs","Entire home/apt",2.5,4,12,2,92,69,4.93,4.91,4.93,1,1,0,1,81.780770625427,375
"Anoka","Entire home/apt",3,4,10,2,0,2,5,5,5,0,0,1,1,16.1141552028591,415
"Hennepin","Private room",1,1,2,30,0,22,4.77,4.68,4.9,0,0,0,1,3.33921738674746,51
"St. Croix","Entire home/apt",2.5,5,10,2,358,15,4.5,4.43,4.86,0,0,1,1,17.0210923993286,920
"St. Croix","Private room",2,1,8,1,356,130,4.9,4.93,4.88,1,0,1,4,19.783207530214,80
"Carver","Private room",1,1,2,1,359,5,5,5,5,0,0,0,1,21.8728515207001,100
"Hennepin","Entire home/apt",1,2,4,6,203,121,4.92,4.84,4.86,1,0,1,1,5.69585128401033,89
"Hennepin","Private room",1,1,2,2,13,188,4.94,4.93,4.96,1,0,1,1,7.882072889023,52
"Scott","Entire home/apt",1,2,4,2,200,164,4.82,4.76,4.91,0,0,1,1,19.1911802331341,119
"Ramsey","Private room",1,1,1,2,158,11,4.82,4.55,4.91,0,0,1,1,4.70063647644447,100
"Hennepin","Entire home/apt",1,3,6,1,206,143,4.97,4.99,4.98,1,0,1,3,4.86176432922721,112
"Ramsey","Private room",1,1,2,1,341,339,4.91,4.96,4.93,1,1,1,1,3.21238523841711,63
"Ramsey","Entire home/apt",0.5,1,3,2,119,97,4.96,4.97,4.98,1,0,1,3,9.09570108737691,182
"Hennepin","Entire home/apt",1,2,5,3,261,156,4.8,4.67,4.96,1,0,1,1,2.05647686549938,115
"Hennepin","Entire home/apt",1,1,2,5,0,6,4.67,4.83,4.5,0,0,1,5,4.49474853171759,125
"Ramsey","Entire home/apt",5.5,9,16,3,293,56,4.98,4.8,5,1,0,1,9,2.36845569894318,1414
"Hennepin","Entire home/apt",1,2,6,1,119,437,4.99,5,4.94,1,0,1,1,1.23624545297266,151
"Sherburne","Entire home/apt",1,2,6,2,303,57,4.91,4.93,4.86,1,1,1,2,36.5273930215682,209
"Hennepin","Entire home/apt",1,2,4,4,131,73,4.97,4.99,4.93,1,0,1,1,5.82194993209002,118
"Le Sueur","Entire home/apt",1,2,7,1,217,3,5,5,5,0,0,1,1,55.4854426474588,200
"Hennepin","Private room",1,2,4,1,354,188,4.91,4.94,4.94,1,0,0,1,5.53986458709623,75
"Washington","Entire home/apt",2,2,8,2,163,190,4.97,4.95,4.96,1,0,1,1,7.33948229434999,109
"Hennepin","Private room",2,1,2,1,176,130,4.98,4.98,4.96,1,0,1,1,5.55187809694228,70
"St. Croix","Entire home/apt",1,1,4,2,299,215,4.88,4.89,4.95,1,0,1,1,24.7413612289258,89
"Hennepin","Entire home/apt",1,2,8,2,313,69,4.88,4.93,4.86,1,0,1,6,1.71437633873927,143
"Hennepin","Private room",1,1,3,1,90,44,4.98,4.77,4.93,1,0,1,1,6.37224675847418,75
"Washington","Entire home/apt",2.5,4,11,1,357,92,4.95,4.91,4.95,0,0,1,4,19.743866570815,488
"Hennepin","Private room",1,1,2,2,348,2,5,5,4.5,0,0,1,1,12.4551175695184,70
"Hennepin","Private room",1,1,2,2,173,119,4.87,4.98,4.88,0,1,1,1,3.71226304615841,119
"Hennepin","Private room",1,1,2,2,31,215,4.99,4.99,4.91,1,0,1,1,1.41131014061678,40
"Dakota","Private room",2.5,1,2,2,361,24,4.88,5,4.96,1,0,1,4,14.3114400993751,89
"Hennepin","Entire home/apt",1,2,4,1,321,3,3.67,4.67,4.67,0,0,1,1,6.70670739646023,96
"Hennepin","Entire home/apt",3,3,9,2,215,217,4.81,4.64,4.85,0,0,1,1,2.12614731485494,136
"Ramsey","Entire home/apt",1.5,2,4,30,0,71,4.9,4.94,4.98,0,0,1,1,1.51248033713089,150
"Ramsey","Private room",2,3,6,2,0,8,5,5,5,0,0,1,1,3.99275405004143,1000
"Hennepin","Entire home/apt",1,2,6,30,246,50,4.66,4.54,5,1,1,1,9,4.15305970502651,111
"Anoka","Private room",1,1,1,3,179,51,4.98,4.96,4.96,1,0,0,2,12.8559959500507,46
